idx,formula,sgn,xx,zz
0,GaP,216,71.56170879095546,71.56170879095546
1,InSb,216,10.645613704779198,10.645613704779198
2,GaSb,216,29.315805758790535,29.315805758790525
3,AlSb,216,74.12495626615139,74.12495626615139
4,BP,216,345.1608142539527,345.1608142539527
5,AlP,216,60.02236524525917,60.022365245259174
6,SeZn,216,16.03998495373039,16.039984953730386
8,TeZn,216,16.90117853245205,16.90117853245205
9,InP,216,76.65978464312104,76.65978464312104
10,SZn,216,27.395780128991944,27.39578012899193
11,AsIn,216,21.041994868578996,21.041994868578996
12,AlAs,216,75.45574967101692,75.45574967101692
13,AsGa,216,29.125886454755065,29.125886454755065
14,CSi,186,432.3875175945512,429.17643454595475
15,BeO,186,271.9529105077687,286.69459438165603
16,CdTe,186,4.506609659280215,6.112603843477627
17,CdS,186,10.809660296760123,12.77765279352353
18,AgI,186,1.3349920723072746,1.875250039693271
19,OZn,186,42.393985219263634,64.30003931830844
20,BrCu,186,1.7458296688223884,3.087514231563281
21,CuI,186,6.415406203033144,7.5930054726539575
22,ClCu,186,0.8942295204265526,1.6186955219133081
23,GaN,186,179.13155693469346,187.06343778924315
24,AlN,186,245.6754488003447,226.30930017339455
